Category,PermitNum,PermitClass,DateIssued,ProjectType,ResidentialType
Building & Trades Permits,B-22-604,Commercial Building Permit,2022-03-29 19:39:00,Residential,Residential Single Family
Building & Trades Permits,B-22-806,Commercial Building Permit,2022-03-29 19:37:00,Residential,Residential Single Family
Building & Trades Permits,B-22-372,Commercial Building Permit,2022-03-29 13:22:00,Residential,Residential Single Family
Building & Trades Permits,B-22-692,Commercial Building Permit,2022-03-28 20:18:00,Residential,Residential Single Family
Building & Trades Permits,B-22-698,Commercial Building Permit,2022-03-28 16:36:00,Residential,Residential Single Family
Building & Trades Permits,B-22-658,Commercial Building Permit,2022-03-28 14:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-763,Commercial Building Permit,2022-03-28 14:48:00,Residential,Residential Single Family
Building & Trades Permits,B-22-706,Commercial Building Permit,2022-03-28 12:18:00,Residential,Residential Single Family
Building & Trades Permits,B-22-786,Commercial Building Permit,2022-03-25 15:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-737,Commercial Building Permit,2022-03-25 14:46:00,Residential,Residential Single Family
Building & Trades Permits,B-22-746,Commercial Building Permit,2022-03-25 14:25:00,Residential,Residential Single Family
Building & Trades Permits,B-22-785,Commercial Building Permit,2022-03-25 14:14:00,Residential,Residential Single Family
Building & Trades Permits,B-22-799,Commercial Building Permit,2022-03-25 12:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-780,Commercial Building Permit,2022-03-25 12:36:00,Residential,Residential Single Family
Building & Trades Permits,B-22-661,Commercial Building Permit,2022-03-24 20:33:00,Residential,Residential Single Family
Building & Trades Permits,B-22-772,Commercial Building Permit,2022-03-24 20:19:00,Residential,Residential Single Family
Building & Trades Permits,B-22-757,Commercial Building Permit,2022-03-24 17:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-794,Commercial Building Permit,2022-03-24 17:41:00,Residential,Residential Single Family
Building & Trades Permits,B-22-714,Commercial Building Permit,2022-03-24 15:15:00,Residential,Residential Single Family
Building & Trades Permits,B-22-735,Commercial Building Permit,2022-03-24 15:14:00,Residential,Residential Single Family
Building & Trades Permits,B-22-741,Commercial Building Permit,2022-03-24 15:13:00,Residential,Residential Single Family
Building & Trades Permits,B-22-774,Commercial Building Permit,2022-03-24 14:50:00,Residential,Residential Single Family
Building & Trades Permits,B-22-761,Commercial Building Permit,2022-03-24 14:24:00,Residential,Residential Single Family
Building & Trades Permits,B-22-614,Commercial Building Permit,2022-03-24 14:01:00,Residential,Residential Single Family
Building & Trades Permits,B-22-609,Commercial Building Permit,2022-03-24 14:00:00,Residential,Residential Single Family
Building & Trades Permits,B-22-765,Commercial Building Permit,2022-03-24 13:48:00,Residential,Residential Single Family
Building & Trades Permits,B-22-782,Commercial Building Permit,2022-03-24 13:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-781,Commercial Building Permit,2022-03-24 13:23:00,Residential,Residential Single Family
Building & Trades Permits,B-22-634,Commercial Building Permit,2022-03-23 14:00:00,Residential,Residential Single Family
Building & Trades Permits,B-22-688,Commercial Building Permit,2022-03-23 12:45:00,Residential,Residential Single Family
Building & Trades Permits,B-22-610,Commercial Building Permit,2022-03-22 20:59:00,Residential,Residential Single Family
Building & Trades Permits,B-22-695,Commercial Building Permit,2022-03-22 19:21:00,Residential,Residential Single Family
Building & Trades Permits,B-22-393,Commercial Building Permit,2022-03-22 17:35:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-369,Commercial Building Permit,2022-03-22 14:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-711,Commercial Building Permit,2022-03-22 13:23:00,Residential,Residential Single Family
Building & Trades Permits,B-22-747,Commercial Building Permit,2022-03-22 13:22:00,Residential,Residential Single Family
Building & Trades Permits,B-22-702,Commercial Building Permit,2022-03-22 12:59:00,Residential,Residential Single Family
Building & Trades Permits,B-22-725,Commercial Building Permit,2022-03-22 11:47:00,Residential,Residential Single Family
Building & Trades Permits,B-22-673,Commercial Building Permit,2022-03-21 23:28:00,Residential,Residential Single Family
Building & Trades Permits,B-22-681,Commercial Building Permit,2022-03-21 20:33:00,Residential,Residential Single Family
Building & Trades Permits,B-22-662,Commercial Building Permit,2022-03-21 20:08:00,Residential,Residential Single Family
Building & Trades Permits,B-22-668,Commercial Building Permit,2022-03-21 18:20:00,Residential,Residential Single Family
Building & Trades Permits,B-22-410,Commercial Building Permit,2022-03-21 17:25:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-408,Commercial Building Permit,2022-03-21 17:04:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-392,Commercial Building Permit,2022-03-21 17:02:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-707,Commercial Building Permit,2022-03-21 14:52:00,Residential,Residential Single Family
Building & Trades Permits,B-22-642,Commercial Building Permit,2022-03-21 14:26:00,Residential,Residential Single Family
Building & Trades Permits,B-22-723,Commercial Building Permit,2022-03-21 13:53:00,Residential,Residential Single Family
Building & Trades Permits,B-22-429,Commercial Building Permit,2022-03-21 13:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-430,Commercial Building Permit,2022-03-21 13:49:00,Residential,Residential Single Family
Building & Trades Permits,B-22-431,Commercial Building Permit,2022-03-21 13:47:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-432,Commercial Building Permit,2022-03-21 13:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-433,Commercial Building Permit,2022-03-21 13:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-435,Commercial Building Permit,2022-03-21 13:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-411,Commercial Building Permit,2022-03-21 13:19:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-409,Commercial Building Permit,2022-03-21 13:18:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-434,Commercial Building Permit,2022-03-21 13:08:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-541,Commercial Building Permit,2022-03-19 21:19:00,Residential,Residential Single Family
Building & Trades Permits,B-22-644,Commercial Building Permit,2022-03-17 20:20:00,Residential,Residential Single Family
Building & Trades Permits,B-21-3182,Commercial Building Permit,2022-03-17 20:09:00,Residential,Residential Single Family
Building & Trades Permits,B-22-680,Commercial Building Permit,2022-03-17 19:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-671,Commercial Building Permit,2022-03-17 19:28:00,Residential,Residential Single Family
Building & Trades Permits,B-22-397,Commercial Building Permit,2022-03-17 15:00:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-637,Commercial Building Permit,2022-03-17 13:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-676,Commercial Building Permit,2022-03-17 13:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-657,Commercial Building Permit,2022-03-16 19:25:00,Residential,Residential Single Family
Building & Trades Permits,B-22-645,Commercial Building Permit,2022-03-16 16:27:00,Residential,Residential Single Family
Building & Trades Permits,B-22-331,Commercial Building Permit,2022-03-16 16:12:00,Residential,Residential Single Family
Building & Trades Permits,B-22-402,Commercial Building Permit,2022-03-16 15:00:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-652,Commercial Building Permit,2022-03-15 21:01:00,Residential,Residential Single Family
Building & Trades Permits,B-22-543,Commercial Building Permit,2022-03-15 17:58:00,Residential,Residential Single Family
Building & Trades Permits,B-22-650,Commercial Building Permit,2022-03-15 16:54:00,Residential,Residential Single Family
Building & Trades Permits,B-22-631,Commercial Building Permit,2022-03-15 16:21:00,Residential,Residential Single Family
Building & Trades Permits,B-22-647,Commercial Building Permit,2022-03-15 15:29:00,Residential,Residential Single Family
Building & Trades Permits,B-22-617,Commercial Building Permit,2022-03-14 18:47:00,Residential,Residential Single Family
Building & Trades Permits,B-22-641,Commercial Building Permit,2022-03-14 16:16:00,Residential,Residential Single Family
Building & Trades Permits,B-22-625,Commercial Building Permit,2022-03-14 15:05:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1913,Commercial Building Permit,2022-03-14 15:04:00,Residential,Residential Single Family
Building & Trades Permits,B-22-649,Commercial Building Permit,2022-03-14 13:02:00,Residential,Residential Single Family
Building & Trades Permits,B-22-613,Commercial Building Permit,2022-03-13 21:59:00,Residential,Residential Single Family
Building & Trades Permits,B-22-307,Commercial Building Permit,2022-03-13 17:21:00,Residential,Residential Single Family
Building & Trades Permits,B-22-527,Commercial Building Permit,2022-03-11 19:43:00,Residential,Residential Single Family
Building & Trades Permits,B-22-464,Commercial Building Permit,2022-03-11 19:43:00,Residential,Residential Single Family
Building & Trades Permits,B-22-529,Commercial Building Permit,2022-03-11 19:43:00,Residential,Residential Single Family
Building & Trades Permits,B-22-468,Commercial Building Permit,2022-03-11 19:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-524,Commercial Building Permit,2022-03-11 19:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-461,Commercial Building Permit,2022-03-11 19:41:00,Residential,Residential Single Family
Building & Trades Permits,B-22-455,Commercial Building Permit,2022-03-11 19:41:00,Residential,Residential Single Family
Building & Trades Permits,B-22-462,Commercial Building Permit,2022-03-11 19:41:00,Residential,Residential Single Family
Building & Trades Permits,B-21-3025,Commercial Building Permit,2022-03-11 17:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-536,Commercial Building Permit,2022-03-11 15:24:00,Residential,Residential Single Family
Building & Trades Permits,B-22-596,Commercial Building Permit,2022-03-11 13:14:00,Residential,Residential Single Family
Building & Trades Permits,B-21-2954,Commercial Building Permit,2022-03-10 20:58:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-602,Commercial Building Permit,2022-03-10 19:06:00,Residential,Residential Single Family
Building & Trades Permits,B-22-119,Commercial Building Permit,2022-03-10 13:20:00,Residential,Residential Single Family
Building & Trades Permits,B-22-500,Commercial Building Permit,2022-03-09 21:27:00,Residential,Residential Single Family
Building & Trades Permits,B-22-474,Commercial Building Permit,2022-03-09 18:37:00,Residential,Residential Single Family
Building & Trades Permits,B-22-473,Commercial Building Permit,2022-03-09 18:36:00,Residential,Residential Single Family
Building & Trades Permits,B-22-525,Commercial Building Permit,2022-03-09 18:35:00,Residential,Residential Single Family
Building & Trades Permits,B-22-472,Commercial Building Permit,2022-03-09 18:34:00,Residential,Residential Single Family
Building & Trades Permits,B-22-471,Commercial Building Permit,2022-03-09 18:33:00,Residential,Residential Single Family
Building & Trades Permits,B-22-470,Commercial Building Permit,2022-03-09 18:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-469,Commercial Building Permit,2022-03-09 18:31:00,Residential,Residential Single Family
Building & Trades Permits,B-22-406,Commercial Building Permit,2022-03-09 18:26:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-400,Commercial Building Permit,2022-03-09 17:03:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-404,Commercial Building Permit,2022-03-09 17:00:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-38,Commercial Building Permit,2022-03-09 16:10:00,Residential,Residential Single Family
Building & Trades Permits,B-22-551,Commercial Building Permit,2022-03-09 15:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-607,Commercial Building Permit,2022-03-09 15:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-597,Commercial Building Permit,2022-03-09 15:55:00,Residential,Residential Single Family
Building & Trades Permits,B-22-396,Commercial Building Permit,2022-03-09 14:09:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-401,Commercial Building Permit,2022-03-09 14:07:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-407,Commercial Building Permit,2022-03-09 14:01:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-394,Commercial Building Permit,2022-03-09 13:49:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-296,Commercial Building Permit,2022-03-09 13:29:00,Residential,Residential Single Family
Building & Trades Permits,B-22-561,Commercial Building Permit,2022-03-08 20:57:00,Residential,Residential Single Family
Building & Trades Permits,B-22-612,Commercial Building Permit,2022-03-08 20:11:00,Residential,Residential Single Family
Building & Trades Permits,B-22-593,Commercial Building Permit,2022-03-08 18:45:00,Residential,Residential Single Family
Building & Trades Permits,B-22-615,Commercial Building Permit,2022-03-08 17:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-489,Commercial Building Permit,2022-03-08 15:26:00,Residential,Residential Single Family
Building & Trades Permits,B-22-583,Commercial Building Permit,2022-03-08 15:07:00,Residential,Residential Single Family
Building & Trades Permits,B-22-255,Commercial Building Permit,2022-03-08 13:43:00,Residential,Residential Single Family
Building & Trades Permits,B-22-581,Commercial Building Permit,2022-03-08 13:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-93,Commercial Building Permit,2022-03-07 17:29:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-88,Commercial Building Permit,2022-03-07 17:24:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-90,Commercial Building Permit,2022-03-07 17:23:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-92,Commercial Building Permit,2022-03-07 17:22:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-86,Commercial Building Permit,2022-03-07 17:21:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-87,Commercial Building Permit,2022-03-07 17:20:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-89,Commercial Building Permit,2022-03-07 17:18:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-537,Commercial Building Permit,2022-03-07 16:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-532,Commercial Building Permit,2022-03-07 16:22:00,Residential,Residential Single Family
Building & Trades Permits,B-22-91,Commercial Building Permit,2022-03-07 16:04:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-499,Commercial Building Permit,2022-03-07 15:29:00,Residential,Residential Single Family
Building & Trades Permits,B-22-519,Commercial Building Permit,2022-03-07 14:49:00,Residential,Residential Single Family
Building & Trades Permits,B-22-542,Commercial Building Permit,2022-03-07 13:23:00,Residential,Residential Single Family
Building & Trades Permits,B-22-477,Commercial Building Permit,2022-03-04 16:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-192,Commercial Building Permit,2022-03-04 16:31:00,Residential,Residential Single Family
Building & Trades Permits,B-22-580,Commercial Building Permit,2022-03-04 16:20:00,Residential,Residential Single Family
Building & Trades Permits,B-22-389,Commercial Building Permit,2022-03-04 15:17:00,Residential,Residential Single Family
Building & Trades Permits,B-22-539,Commercial Building Permit,2022-03-04 13:05:00,Residential,Residential Single Family
Building & Trades Permits,B-22-582,Commercial Building Permit,2022-03-03 19:31:00,Residential,Residential Single Family
Building & Trades Permits,B-22-577,Commercial Building Permit,2022-03-03 16:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-544,Commercial Building Permit,2022-03-03 16:12:00,Residential,Residential Single Family
Building & Trades Permits,B-22-569,Commercial Building Permit,2022-03-03 15:34:00,Residential,Residential Single Family
Building & Trades Permits,B-22-570,Commercial Building Permit,2022-03-03 14:09:00,Residential,Residential Single Family
Building & Trades Permits,B-22-571,Commercial Building Permit,2022-03-02 22:53:00,Residential,Residential Single Family
Building & Trades Permits,B-22-522,Commercial Building Permit,2022-03-02 21:17:00,Residential,Residential Single Family
Building & Trades Permits,B-22-576,Commercial Building Permit,2022-03-02 18:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-528,Commercial Building Permit,2022-03-02 13:59:00,Residential,Residential Single Family
Building & Trades Permits,B-22-516,Commercial Building Permit,2022-03-01 20:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-399,Commercial Building Permit,2022-03-01 20:30:00,Residential,Residential Single Family
Building & Trades Permits,B-22-444,Commercial Building Permit,2022-03-01 17:15:00,Residential,Residential Single Family
Building & Trades Permits,B-21-2400,Commercial Building Permit,2022-03-01 16:39:00,Residential,Residential Single Family
Building & Trades Permits,B-22-355,Commercial Building Permit,2022-03-01 16:00:00,Residential,Residential Single Family
Building & Trades Permits,B-22-426,Commercial Building Permit,2022-03-01 15:11:00,Residential,Residential Single Family
Building & Trades Permits,B-22-419,Commercial Building Permit,2022-03-01 15:07:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1874,Commercial Building Permit,2022-03-01 13:40:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1878,Commercial Building Permit,2022-03-01 13:39:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1880,Commercial Building Permit,2022-03-01 13:39:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1881,Commercial Building Permit,2022-03-01 13:37:00,Residential,Residential Single Family
Building & Trades Permits,B-21-1882,Commercial Building Permit,2022-03-01 13:36:00,Residential,Residential Single Family
Building & Trades Permits,B-22-502,Commercial Building Permit,2022-02-28 19:53:00,Residential,Residential Single Family
Building & Trades Permits,B-22-463,Commercial Building Permit,2022-02-28 18:18:00,Residential,Residential Single Family
Building & Trades Permits,B-22-457,Commercial Building Permit,2022-02-28 18:17:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-456,Commercial Building Permit,2022-02-28 18:17:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-427,Commercial Building Permit,2022-02-28 18:16:00,Residential,Residential Single Family
Building & Trades Permits,B-22-424,Commercial Building Permit,2022-02-28 18:15:00,Residential,Residential Single Family
Building & Trades Permits,B-22-425,Commercial Building Permit,2022-02-28 18:15:00,Residential,Residential Single Family
Building & Trades Permits,B-22-423,Commercial Building Permit,2022-02-28 18:14:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-420,Commercial Building Permit,2022-02-28 18:13:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-485,Commercial Building Permit,2022-02-28 18:11:00,Residential,Residential Single Family
Building & Trades Permits,B-22-484,Commercial Building Permit,2022-02-28 18:10:00,Residential,Residential Single Family
Building & Trades Permits,B-22-487,Commercial Building Permit,2022-02-28 18:09:00,Residential,Residential Single Family
Building & Trades Permits,B-22-42,Commercial Building Permit,2022-02-28 15:11:00,Residential,Residential Single Family
Building & Trades Permits,B-22-514,Commercial Building Permit,2022-02-26 00:29:00,Residential,Residential Single Family
Building & Trades Permits,B-22-380,Commercial Building Permit,2022-02-25 19:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-497,Commercial Building Permit,2022-02-25 18:25:00,Residential,Residential Single Family
Building & Trades Permits,B-22-336,Commercial Building Permit,2022-02-25 18:18:00,Residential,Residential Single Family
Building & Trades Permits,B-22-475,Commercial Building Permit,2022-02-25 15:34:00,Residential,Residential Single Family
Building & Trades Permits,B-22-486,Commercial Building Permit,2022-02-25 15:14:00,Residential,Residential Single Family
Building & Trades Permits,B-22-479,Commercial Building Permit,2022-02-25 01:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-478,Commercial Building Permit,2022-02-25 01:37:00,Residential,Residential Single Family
Building & Trades Permits,B-22-412,Commercial Building Permit,2022-02-24 20:08:00,Residential,Residential Single Family
Building & Trades Permits,B-22-358,Commercial Building Permit,2022-02-24 18:35:00,Residential,Residential Single Family
Building & Trades Permits,B-22-498,Commercial Building Permit,2022-02-24 17:15:00,Residential,Residential Single Family
Building & Trades Permits,B-22-447,Commercial Building Permit,2022-02-24 15:34:00,Residential,Residential Single Family
Building & Trades Permits,B-22-299,Commercial Building Permit,2022-02-24 14:43:00,Residential,Residential Single Family
Building & Trades Permits,B-22-288,Commercial Building Permit,2022-02-23 20:47:00,Residential,Residential Single Family
Building & Trades Permits,B-22-450,Commercial Building Permit,2022-02-23 20:44:00,Residential,Residential Single Family
Building & Trades Permits,B-22-285,Commercial Building Permit,2022-02-23 20:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-258,Commercial Building Permit,2022-02-23 20:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-291,Commercial Building Permit,2022-02-23 20:26:00,Residential,Residential Single Family
Building & Trades Permits,B-22-293,Commercial Building Permit,2022-02-23 20:13:00,Residential,Residential Single Family
Building & Trades Permits,B-22-449,Commercial Building Permit,2022-02-23 20:05:00,Residential,Residential Single Family
Building & Trades Permits,B-22-378,Commercial Building Permit,2022-02-23 18:17:00,Residential,Residential Single Family
Building & Trades Permits,B-22-390,Commercial Building Permit,2022-02-23 18:10:00,Residential,Residential Single Family
Building & Trades Permits,B-22-480,Commercial Building Permit,2022-02-23 17:27:00,Residential,Residential Single Family
Building & Trades Permits,B-22-483,Commercial Building Permit,2022-02-23 17:04:00,Residential,Residential Single Family
Building & Trades Permits,B-22-442,Commercial Building Permit,2022-02-23 14:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-357,Commercial Building Permit,2022-02-23 14:20:00,Residential,Residential Single Family
Building & Trades Permits,B-22-295,Commercial Building Permit,2022-02-22 18:23:00,Residential,Residential Single Family
Building & Trades Permits,B-22-452,Commercial Building Permit,2022-02-22 17:25:00,Residential,Residential Single Family
Building & Trades Permits,B-22-403,Commercial Building Permit,2022-02-22 16:54:00,Residential,Residential Single Family
Building & Trades Permits,B-22-445,Commercial Building Permit,2022-02-22 16:30:00,Residential,Residential Single Family
Building & Trades Permits,B-22-391,Commercial Building Permit,2022-02-22 15:01:00,Residential,Residential Single Family
Building & Trades Permits,B-22-441,Commercial Building Permit,2022-02-19 00:15:00,Residential,Residential Single Family
Building & Trades Permits,B-22-459,Commercial Building Permit,2022-02-18 19:17:00,Residential,Residential Single Family
Building & Trades Permits,B-21-3174,Commercial Building Permit,2022-02-18 17:54:00,Residential,Residential Single Family
Building & Trades Permits,B-22-330,Commercial Building Permit,2022-02-17 20:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-422,Commercial Building Permit,2022-02-17 17:05:00,Residential,Residential Single Family
Building & Trades Permits,B-22-421,Commercial Building Permit,2022-02-17 15:49:00,Residential,Residential Single Family
Building & Trades Permits,B-22-289,Commercial Building Permit,2022-02-17 15:09:00,Residential,Residential Single Family
Building & Trades Permits,B-22-428,Commercial Building Permit,2022-02-17 14:08:00,Residential,Residential Single Family
Building & Trades Permits,B-22-387,Commercial Building Permit,2022-02-16 16:54:00,Residential,Residential Single Family
Building & Trades Permits,B-22-225,Commercial Building Permit,2022-02-16 14:45:00,Residential,Modular Home
Building & Trades Permits,B-22-363,Commercial Building Permit,2022-02-15 22:30:00,Residential,Residential Single Family
Building & Trades Permits,B-22-361,Commercial Building Permit,2022-02-15 22:26:00,Residential,Residential Single Family
Building & Trades Permits,B-22-362,Commercial Building Permit,2022-02-15 22:21:00,Residential,Residential Single Family
Building & Trades Permits,B-22-82,Commercial Building Permit,2022-02-15 19:28:00,Residential,Residential Single Family
Building & Trades Permits,B-22-189,Commercial Building Permit,2022-02-15 19:28:00,Residential,Residential Single Family
Building & Trades Permits,B-22-281,Commercial Building Permit,2022-02-15 17:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-227,Commercial Building Permit,2022-02-15 17:31:00,Residential,Residential Single Family
Building & Trades Permits,B-22-377,Commercial Building Permit,2022-02-15 16:39:00,Residential,Residential Single Family
Building & Trades Permits,B-22-376,Commercial Building Permit,2022-02-15 16:37:00,Residential,Residential Single Family
Building & Trades Permits,B-22-63,Commercial Building Permit,2022-02-15 14:53:00,Residential,Residential Single Family
Building & Trades Permits,B-21-3189,Commercial Building Permit,2022-02-15 14:06:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-382,Commercial Building Permit,2022-02-15 13:10:00,Residential,Residential Single Family
Building & Trades Permits,B-22-386,Commercial Building Permit,2022-02-14 20:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-280,Commercial Building Permit,2022-02-14 20:39:00,Residential,Residential Single Family
Building & Trades Permits,B-22-329,Commercial Building Permit,2022-02-14 20:06:00,Residential,Residential Single Family
Building & Trades Permits,B-22-242,Commercial Building Permit,2022-02-14 19:56:00,Residential,Residential Single Family
Building & Trades Permits,B-22-248,Commercial Building Permit,2022-02-14 19:08:00,Residential,Residential Single Family
Building & Trades Permits,B-22-334,Commercial Building Permit,2022-02-14 17:15:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-327,Commercial Building Permit,2022-02-14 14:59:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-348,Commercial Building Permit,2022-02-14 12:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-340,Commercial Building Permit,2022-02-11 21:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-337,Commercial Building Permit,2022-02-11 20:11:00,Residential,Residential Single Family
Building & Trades Permits,B-22-315,Commercial Building Permit,2022-02-11 20:05:00,Residential,Residential Single Family
Building & Trades Permits,B-22-352,Commercial Building Permit,2022-02-11 17:54:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-353,Commercial Building Permit,2022-02-11 17:51:00,Residential,Residential Single Family Duplex
Building & Trades Permits,B-22-346,Commercial Building Permit,2022-02-11 17:48:00,Residential,Residential Single Family
Building & Trades Permits,B-22-309,Commercial Building Permit,2022-02-11 14:58:00,Residential,Residential Single Family
Building & Trades Permits,B-22-349,Commercial Building Permit,2022-02-11 13:09:00,Residential,Residential Single Family
Building & Trades Permits,B-22-170,Commercial Building Permit,2022-02-10 20:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-342,Commercial Building Permit,2022-02-10 19:40:00,Residential,Residential Two Family Town-homes
Building & Trades Permits,B-22-343,Commercial Building Permit,2022-02-10 19:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-345,Commercial Building Permit,2022-02-10 17:35:00,Residential,Manufactured Home
Building & Trades Permits,B-21-2082,Commercial Building Permit,2022-02-10 15:56:00,Residential,Residential Single Family
Building & Trades Permits,B-21-2536,Commercial Building Permit,2022-02-09 19:42:00,Residential,Residential Single Family
Building & Trades Permits,B-22-311,Commercial Building Permit,2022-02-09 18:44:00,Residential,Residential Single Family
Building & Trades Permits,B-22-304,Commercial Building Permit,2022-02-09 15:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-241,Commercial Building Permit,2022-02-09 15:37:00,Residential,Residential Single Family
Building & Trades Permits,B-22-259,Commercial Building Permit,2022-02-09 15:33:00,Residential,Residential Single Family
Building & Trades Permits,B-22-305,Commercial Building Permit,2022-02-09 14:26:00,Residential,Residential Single Family
Building & Trades Permits,B-22-313,Commercial Building Permit,2022-02-09 14:03:00,Residential,Residential Single Family
Building & Trades Permits,B-21-3156,Commercial Building Permit,2022-02-09 13:27:00,Residential,Residential Single Family
Building & Trades Permits,B-22-316,Commercial Building Permit,2022-02-09 13:05:00,Residential,Residential Single Family
Building & Trades Permits,B-22-257,Commercial Building Permit,2022-02-09 11:57:00,Residential,Residential Single Family
Building & Trades Permits,B-22-326,Commercial Building Permit,2022-02-09 01:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-275,Commercial Building Permit,2022-02-08 18:32:00,Residential,Residential Single Family
Building & Trades Permits,B-22-261,Commercial Building Permit,2022-02-08 17:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-321,Commercial Building Permit,2022-02-08 16:51:00,Residential,Residential Single Family
Building & Trades Permits,B-22-300,Commercial Building Permit,2022-02-08 16:49:00,Residential,Residential Single Family
Building & Trades Permits,B-22-308,Commercial Building Permit,2022-02-08 16:38:00,Residential,Residential Single Family
Building & Trades Permits,B-22-301,Commercial Building Permit,2022-02-08 15:14:00,Residential,Residential Single Family
Building & Trades Permits,B-22-206,Commercial Building Permit,2022-02-08 14:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-207,Commercial Building Permit,2022-02-08 14:40:00,Residential,Residential Single Family
Building & Trades Permits,B-22-256,Commercial Building Permit,2022-02-08 13:19:00,Residential,Residential Single Family
Building & Trades Permits,B-22-202,Commercial Building Permit,2022-02-07 20:10:00,Residential,Residential Single Family
