Category,PermitNum,PermitClass,DateIssued,ProjectType,ResidentialType
Building & Trades Permits,RB-24-879,Simple Residential Building Permit,2024-07-09 13:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-809,Simple Residential Building Permit,2024-07-09 12:53:00,New Construction,Single-Family
Building & Trades Permits,RB-24-228,Simple Residential Building Permit,2024-07-03 16:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-894,Simple Residential Building Permit,2024-07-03 15:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-875,Simple Residential Building Permit,2024-07-02 18:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-861,Simple Residential Building Permit,2024-07-02 17:08:00,New Construction,Single-Family
Building & Trades Permits,RB-24-872,Simple Residential Building Permit,2024-07-01 20:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-922,Simple Residential Building Permit,2024-07-01 20:11:00,New Construction,Duplex
Building & Trades Permits,RB-24-840,Simple Residential Building Permit,2024-07-01 19:57:00,New Construction,Single-Family
Building & Trades Permits,RB-24-921,Simple Residential Building Permit,2024-07-01 19:40:00,New Construction,Duplex
Building & Trades Permits,RB-24-852,Simple Residential Building Permit,2024-07-01 19:38:00,New Construction,Duplex
Building & Trades Permits,RB-24-851,Simple Residential Building Permit,2024-07-01 19:35:00,New Construction,Duplex
Building & Trades Permits,RB-24-842,Simple Residential Building Permit,2024-07-01 19:33:00,New Construction,Single-Family
Building & Trades Permits,RB-24-877,Simple Residential Building Permit,2024-07-01 18:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-832,Simple Residential Building Permit,2024-07-01 18:00:00,New Construction,Single-Family
Building & Trades Permits,RB-24-749,Simple Residential Building Permit,2024-07-01 13:37:00,New Construction,Single-Family
Building & Trades Permits,RB-24-838,Simple Residential Building Permit,2024-06-28 20:16:00,New Construction,Single-Family
Building & Trades Permits,RB-24-837,Simple Residential Building Permit,2024-06-28 20:15:00,New Construction,Single-Family
Building & Trades Permits,RB-24-843,Simple Residential Building Permit,2024-06-28 16:45:00,New Construction,Single-Family
Building & Trades Permits,RB-24-811,Simple Residential Building Permit,2024-06-27 20:21:00,New Construction,Single-Family
Building & Trades Permits,RB-24-512,Simple Residential Building Permit,2024-06-27 16:43:00,New Construction,Single-Family
Building & Trades Permits,RB-24-769,Simple Residential Building Permit,2024-06-26 19:00:00,New Construction,Single-Family
Building & Trades Permits,RB-24-810,Simple Residential Building Permit,2024-06-26 15:55:00,New Construction,Single-Family
Building & Trades Permits,RB-24-216,Simple Residential Building Permit,2024-06-26 13:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-786,Simple Residential Building Permit,2024-06-25 19:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-773,Simple Residential Building Permit,2024-06-25 17:47:00,New Construction,Single-Family
Building & Trades Permits,RB-24-688,Simple Residential Building Permit,2024-06-25 13:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-807,Simple Residential Building Permit,2024-06-24 19:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-805,Simple Residential Building Permit,2024-06-24 19:30:00,New Construction,Single-Family
Building & Trades Permits,RB-24-796,Simple Residential Building Permit,2024-06-24 17:36:00,New Construction,Single-Family
Building & Trades Permits,RB-24-782,Simple Residential Building Permit,2024-06-24 14:53:00,New Construction,Single-Family
Building & Trades Permits,B-22-1847,Commercial Building Permit,2024-06-24 13:22:00,Residential,Residential Single Family Duplex
Building & Trades Permits,RB-24-698,Simple Residential Building Permit,2024-06-21 18:52:00,New Construction,Single-Family
Building & Trades Permits,RB-24-783,Simple Residential Building Permit,2024-06-21 13:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-788,Simple Residential Building Permit,2024-06-20 18:00:00,New Construction,Single-Family
Building & Trades Permits,RB-24-629,Simple Residential Building Permit,2024-06-20 17:46:00,New Construction,Single-Family
Building & Trades Permits,RB-24-781,Simple Residential Building Permit,2024-06-20 17:06:00,New Construction,Single-Family
Building & Trades Permits,RB-24-751,Simple Residential Building Permit,2024-06-20 16:02:00,New Construction,Single-Family
Building & Trades Permits,RB-24-750,Simple Residential Building Permit,2024-06-20 16:00:00,New Construction,Single-Family
Building & Trades Permits,RB-24-770,Simple Residential Building Permit,2024-06-20 15:37:00,New Construction,Single-Family
Building & Trades Permits,RB-24-702,Simple Residential Building Permit,2024-06-18 20:20:00,New Construction,Single-Family
Building & Trades Permits,RB-24-764,Simple Residential Building Permit,2024-06-18 12:21:00,New Construction,Single-Family
Building & Trades Permits,RB-24-760,Simple Residential Building Permit,2024-06-17 18:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-761,Simple Residential Building Permit,2024-06-17 14:12:00,New Construction,Single-Family
Building & Trades Permits,RB-24-636,Simple Residential Building Permit,2024-06-17 13:09:00,New Construction,Single-Family
Building & Trades Permits,RB-24-697,Simple Residential Building Permit,2024-06-17 13:05:00,New Construction,Single-Family
Building & Trades Permits,RB-24-757,Simple Residential Building Permit,2024-06-17 12:49:00,New Construction,Single-Family
Building & Trades Permits,RB-24-21,Simple Residential Building Permit,2024-06-14 16:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-753,Simple Residential Building Permit,2024-06-14 15:18:00,New Construction,Single-Family
Building & Trades Permits,RB-24-754,Simple Residential Building Permit,2024-06-14 13:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-431,Simple Residential Building Permit,2024-06-13 18:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-651,Simple Residential Building Permit,2024-06-12 21:55:00,New Construction,Single-Family
Building & Trades Permits,RB-24-742,Simple Residential Building Permit,2024-06-10 19:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-405,Simple Residential Building Permit,2024-06-10 18:57:00,New Construction,Single-Family
Building & Trades Permits,RB-24-619,Simple Residential Building Permit,2024-06-10 15:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-714,Simple Residential Building Permit,2024-06-10 14:16:00,New Construction,Single-Family
Building & Trades Permits,RB-24-710,Simple Residential Building Permit,2024-06-07 18:57:00,New Construction,Single-Family
Building & Trades Permits,RB-24-715,Simple Residential Building Permit,2024-06-07 18:33:00,New Construction,Single-Family
Building & Trades Permits,RB-24-718,Simple Residential Building Permit,2024-06-06 18:33:00,New Construction,Single-Family
Building & Trades Permits,RB-24-717,Simple Residential Building Permit,2024-06-06 18:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-725,Simple Residential Building Permit,2024-06-06 18:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-719,Simple Residential Building Permit,2024-06-05 14:53:00,New Construction,Single-Family
Building & Trades Permits,RB-24-713,Simple Residential Building Permit,2024-06-04 19:05:00,New Construction,Single-Family
Building & Trades Permits,RB-24-716,Simple Residential Building Permit,2024-06-04 17:13:00,New Construction,Single-Family
Building & Trades Permits,RB-24-736,Simple Residential Building Permit,2024-06-04 17:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-707,Simple Residential Building Permit,2024-06-04 16:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-734,Simple Residential Building Permit,2024-06-04 13:48:00,New Construction,Single-Family
Building & Trades Permits,RB-24-701,Simple Residential Building Permit,2024-05-30 18:56:00,New Construction,Single-Family
Building & Trades Permits,RB-24-692,Simple Residential Building Permit,2024-05-29 15:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-661,Simple Residential Building Permit,2024-05-29 14:26:00,New Construction,Single-Family
Building & Trades Permits,RB-24-622,Simple Residential Building Permit,2024-05-28 19:21:00,New Construction,Single-Family
Building & Trades Permits,RB-24-280,Simple Residential Building Permit,2024-05-28 16:41:00,New Construction,Single-Family
Building & Trades Permits,RB-24-690,Simple Residential Building Permit,2024-05-28 14:50:00,New Construction,Single-Family
Building & Trades Permits,RB-24-510,Simple Residential Building Permit,2024-05-28 12:46:00,New Construction,Single-Family
Building & Trades Permits,RB-24-582,Simple Residential Building Permit,2024-05-28 11:43:00,New Construction,Single-Family
Building & Trades Permits,RB-24-670,Simple Residential Building Permit,2024-05-23 18:13:00,New Construction,Single-Family
Building & Trades Permits,RB-24-611,Simple Residential Building Permit,2024-05-23 14:59:00,New Construction,Single-Family
Building & Trades Permits,RB-24-683,Simple Residential Building Permit,2024-05-22 19:21:00,New Construction,Single-Family
Building & Trades Permits,RB-24-641,Simple Residential Building Permit,2024-05-21 18:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-640,Simple Residential Building Permit,2024-05-21 18:56:00,New Construction,Single-Family
Building & Trades Permits,RB-24-627,Simple Residential Building Permit,2024-05-21 16:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-649,Simple Residential Building Permit,2024-05-21 11:49:00,New Construction,Single-Family
Building & Trades Permits,RB-24-408,Simple Residential Building Permit,2024-05-20 17:55:00,New Construction,Single-Family
Building & Trades Permits,RB-24-435,Simple Residential Building Permit,2024-05-17 16:30:00,New Construction,Single-Family
Building & Trades Permits,RB-24-543,Simple Residential Building Permit,2024-05-15 19:13:00,New Construction,Single-Family
Building & Trades Permits,RB-24-284,Simple Residential Building Permit,2024-05-15 12:43:00,New Construction,Single-Family
Building & Trades Permits,RB-24-645,Simple Residential Building Permit,2024-05-13 18:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-598,Simple Residential Building Permit,2024-05-13 13:54:00,New Construction,Single-Family
Building & Trades Permits,RB-24-383,Simple Residential Building Permit,2024-05-10 15:22:00,New Construction,Single-Family
Building & Trades Permits,RB-24-384,Simple Residential Building Permit,2024-05-10 15:19:00,New Construction,Single-Family
Building & Trades Permits,RB-24-632,Simple Residential Building Permit,2024-05-09 17:14:00,New Construction,Single-Family
Building & Trades Permits,RB-24-610,Simple Residential Building Permit,2024-05-08 19:37:00,New Construction,Single-Family
Building & Trades Permits,RB-24-604,Simple Residential Building Permit,2024-05-08 17:29:00,New Construction,Single-Family
Building & Trades Permits,B-21-820,Commercial Building Permit,2024-05-07 19:11:00,Residential,Residential Single Family
Building & Trades Permits,RB-24-620,Simple Residential Building Permit,2024-05-07 16:18:00,New Construction,Single-Family
Building & Trades Permits,RB-24-602,Simple Residential Building Permit,2024-05-07 16:10:00,New Construction,Single-Family
Building & Trades Permits,RB-24-601,Simple Residential Building Permit,2024-05-06 14:47:00,New Construction,Single-Family
Building & Trades Permits,RB-24-600,Simple Residential Building Permit,2024-05-06 14:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-558,Simple Residential Building Permit,2024-05-03 17:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-556,Simple Residential Building Permit,2024-05-03 15:51:00,New Construction,Single-Family
Building & Trades Permits,RB-24-480,Simple Residential Building Permit,2024-05-03 15:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-458,Simple Residential Building Permit,2024-05-02 19:53:00,New Construction,Single-Family
Building & Trades Permits,RB-24-66,Simple Residential Building Permit,2024-05-02 19:05:00,New Construction,Single-Family
Building & Trades Permits,RB-24-509,Simple Residential Building Permit,2024-05-02 15:40:00,New Construction,Single-Family
Building & Trades Permits,RB-24-119,Simple Residential Building Permit,2024-05-02 14:11:00,New Construction,Single-Family
Building & Trades Permits,RB-24-581,Simple Residential Building Permit,2024-05-01 17:33:00,New Construction,Single-Family
Building & Trades Permits,RB-24-580,Simple Residential Building Permit,2024-05-01 15:48:00,New Construction,Single-Family
Building & Trades Permits,RB-24-511,Simple Residential Building Permit,2024-05-01 14:36:00,New Construction,Single-Family
Building & Trades Permits,RB-24-579,Simple Residential Building Permit,2024-04-30 18:10:00,New Construction,Single-Family
Building & Trades Permits,RB-24-572,Simple Residential Building Permit,2024-04-30 16:19:00,New Construction,Single-Family
Building & Trades Permits,RB-24-571,Simple Residential Building Permit,2024-04-29 22:26:00,New Construction,Single-Family
Building & Trades Permits,RB-24-552,Simple Residential Building Permit,2024-04-26 13:32:00,New Construction,Single-Family
